"","L2_ACTTGA","L2_ATCACG","L2_CAGATC","L2_CGATGT","L2_CTTGTA","L2_GATCAG","L2_GCCAAT","L2_GGCTAC","L2_TAGCTT","L2_TGACCA","L2_TTAGGC","L3_ACAGTG","L3_ACTTGA","L3_CAGATC","L3_CGATGT","L3_CTTGTA","L3_GATCAG","L3_GCCAAT","L3_GGCTAC","L3_TAGCTT","L3_TGACCA","L3_TTAGGC","L6_ACAGTG","L6_ACTTGA","L6_ATCACG","L6_CAGATC","L6_CGATGT","L6_CTTGTA","L6_GATCAG","L6_GCCAAT","L6_GGCTAC","L6_TAGCTT","L6_TGACCA","L6_TTAGGC"
"B-cells",4.45272930731228e-19,0.00505304401437855,0.016804079915457,0,0.0885790013808392,0.12749695544903,0.00234256504204214,0.120769799396924,0.248316914282527,0.00916998827388075,0.0246519579303526,0.0146611382200002,0,0.0734727489274515,0.00561497827207666,0.000155431229048409,1.3568344339512e-19,0.0204813556559401,7.45819552947891e-19,8.38846922233949e-19,0,0,0.0144651084125849,0.0101678460064031,0.107749093689272,0,0.094837532997668,0.23251047579716,0.0318855776548507,0.0149082070253191,0.142316105726549,0.0685122347899754,0,0.00834837429749852
"Basophils",0.0604884111335325,0.0438547252870181,0.0828955348657413,0.0646500622228749,0.0438029189703942,0,0.0298356287873473,0.000889201109364792,9.59303732765262e-19,0.0809924027596321,0.102027043973156,0.0448443420606554,0.0921030464853476,0,0.0145929353891316,0.0837464720845513,0.0320917792392316,0.0489089607178337,0.0409395210446952,0.0886024984337576,0.0482516784466979,0.0599960968301404,0.0296407971941474,0.0893919732499073,0.00352779647030073,0.0301473582848431,0.0886030643623304,0,0.0409469253813645,0.0896855210167626,0,0.0291990970524857,0.0730510132278386,0.0135021758681523
"CD4+ memory T-cells",0,2.23576368243988e-19,2.56309579037754e-19,9.778079756595e-20,4.17003646109983e-19,1.49510951829401e-21,1.89742176886896e-19,5.19552238792169e-19,0.00546325247226812,0,1.2081458903443e-19,0,0,4.48631318386951e-20,0,2.36431965492404e-19,0,0,5.89080172205182e-19,2.67040350788902e-19,2.78817392272755e-19,0,0,0,0,0,0,0,0,1.37172085579699e-19,3.01802288901796e-18,1.40872502087803e-20,0,4.58958700533702e-20
"CD4+ naive T-cells",0,7.28225429401314e-20,0,2.29214443072505e-18,7.9454774718736e-20,0.0207041048362297,0,0,0.0170708563886562,0,0,2.63336339920155e-18,2.1945986169261e-18,0.00544066050102145,0.0118255034384174,0,2.93762784335505e-18,0,0,1.92090248433095e-19,8.86723868538412e-19,0,0,0,0.00178235029247873,2.484746500985e-19,1.06134524410515e-18,0.00356763481861343,0,2.1618361486195e-18,0.0111398339256968,0.00272235117657872,4.96347608527175e-19,0
"CD4+ T-cells",0,0.000370461044733871,0,0,0.000831700852179943,0.0166340696001306,0,5.7577250313295e-19,0.0212851868398004,2.7409019866917e-19,5.69858277145165e-18,1.97653110784419e-18,0,0.00835689025425293,0.00919041016094528,0,1.50678817324886e-18,6.51822641420606e-19,5.31381270489684e-19,0,0,0,0.00254461047906726,0,3.23739991552966e-19,5.66696674756342e-19,0,0.00938658999768067,0,1.23843482773816e-18,0.0109487765641897,0.00065483528145355,1.070905312155e-18,0.00551680403952022
"CD4+ Tcm",1.10579378098798e-20,0.00851447625029245,0,2.6580432377013e-18,0.0211323495181317,0.0259567195263746,0.00863038222329976,0.00498879848627056,0.0141840609575775,0.0179915785394356,2.22635663687219e-18,4.0078183510279e-19,3.40809579570642e-18,0.0131345228751984,0.0195735954033337,0.0143206868890147,0,0,9.67898124871925e-19,0.0167599819882174,0,4.13019783120137e-19,0.0215448101570978,4.58514663877416e-20,0.00529171945979992,0,0.00935850456737787,0.0255734648078176,0.00142300389656174,2.24957347371685e-19,0.0171667271652793,0.0135790169673925,0.0109388101925073,0.045310868162108
"CD4+ Tem",3.2306968369351e-18,0,0,0,0,0,1.13301747268617e-18,2.622059394654e-20,2.3228243297144e-18,2.63956805842696e-21,0,2.54361247863736e-18,0,0,0.00129869492340991,0,1.34811578452549e-18,0,0,3.7854062228213e-19,0,0,0.00751074682343751,3.36831611699532e-18,0,0,0,1.25624571636404e-18,0,2.11636008577902e-18,1.46477289906804e-18,4.2794616240118e-19,0,1.91569987438697e-19
"CD8+ T-cells",1.09098955511344e-19,0.0552060422997351,5.94980233313874e-19,5.42866961355263e-20,3.13332248306858e-19,0.0458808843082384,0.0685607181874579,0.0297871510927793,0.0572093323623889,0.0127350816685363,0,0,1.22871737316882e-18,0.0339811516841947,0.0445225524546997,0.0121953193882178,0.00473234677832445,0.00147335344257479,0.0225020277560924,0,1.36869239888292e-18,1.60543290481818e-19,0.0512452790899847,0,0.0108758996563654,5.67459543707811e-19,2.0056803690922e-18,0.0620551086760249,5.99670865311246e-19,1.04454846067958e-18,0.0718657254228738,0.0319070701274659,0.0113081854923028,0.0112993645552811
"CD8+ Tcm",0,0.0208545861167653,1.65497846999903e-18,1.18720720642139e-18,0,0.0115921167979209,0.0222719924869566,0,0.0223089549560478,4.24983773285193e-19,6.33590472633265e-18,2.56822191509419e-18,3.31332343620708e-18,0.0134117417761563,0.0198103397940668,0.00295893252464792,0,9.66653498873854e-20,0.00966065960089011,0,4.08200848541998e-19,1.60918431408531e-18,0.020131405293619,6.17488346831106e-19,9.49745152661557e-20,0,3.57197513045191e-18,0.0174583271804437,1.60486646287915e-20,1.0571197422585e-18,0.0184891656033915,0.00895396734629237,6.03942462456209e-19,4.23460221819339e-20
"CD8+ Tem",2.02685412708853e-18,0.0060313590022465,0,0,0,7.97128188832523e-19,0.00530059629095392,0,0.0106189302357821,1.41730358296599e-18,2.23655126306233e-18,3.69981308311944e-18,0,0,0.00772947520629438,0,0,0,8.71605361391775e-19,2.74876620043034e-18,0,0,0.00790085292491442,0,0,0,0,0.0156125382919165,2.11136111905591e-18,4.46934441781275e-19,2.85839356707223e-18,0,0,2.23408570752802e-19
"cDC",0.0332197792447676,0.00285628508856493,0.000184384704679915,0.0178470823680902,0.00143612589784662,0.000388452222037143,0.00537765867155521,0.00119141300237092,4.19811946974867e-19,3.27779887383245e-20,0.0103468612909549,0.00159000304337473,0.018852588652381,8.05229477394044e-22,0.0127616072953977,0.000902142438641915,1.63252089142409e-19,7.32536652972711e-19,0.0348831759587425,0.0048014046431954,0.0338284744597165,0.000983870041704734,0.00220748353667442,0.00137632661035022,0.00138379932231289,0.0170005501538701,6.9016848677075e-21,3.89262079293479e-19,0,8.56599241636485e-20,0.00103559231492518,0,2.96383484321898e-19,0.00770020837947438
"Class-switched memory B-cells",6.48743324314166e-19,0.00569658710615436,0.00270769420958301,0,0.0411011030550509,0.0388242082653753,0,0.033056913433517,0.0728547326870942,0.00271146389002374,0.013017105115743,0.00732193750632707,3.59553868924512e-19,0.0187303147268608,8.89569897873472e-19,0,6.96387501820393e-19,0.00418237824635117,0.0105567085166362,0,5.64028881855723e-19,5.67703958074622e-21,0.0012741988527262,4.51006511589629e-18,0.0210158080450043,0.000488806245347613,0.0467620288633597,0.0700989636960403,0.00196023753462466,6.564103989573e-19,0.0400316893165901,0.0378713016874635,0,0.00145420680904577
"CLP",0.00451048605619916,0.00965781786733154,0.000937529621811333,0.00873168989361611,0.0149022252010569,0.00683807671344921,0.0053550085846775,0.00179526690865411,0.0167409612440271,0.00137621806278371,0,0.00189179413946543,0.00598889290080727,0.00711632219212277,0.00403787763406758,7.23430210478338e-05,0.00376568624194248,0.00352604294047845,0.00534162334146789,0.00402679008242667,0.00203809410092667,0.000430371845185423,0.0047153079023288,0,0.00599254426982175,0.000736700840668144,0.00341158757044263,0.0120424473607869,0.0014482782971561,0.00171632711616937,0.00790523394874356,0.00190967914168612,0.0002191712241569,0.00224999923754477
"CMP",0.0195536702592076,1.34391604316944e-20,0.00450537505552634,0.0211728993349159,2.35608104272069e-19,0.0020287009355914,1.13943770242874e-18,0,0,0.00336732651978327,0,7.12502755702077e-19,0.00336785789713003,0,0,0.00395697291013792,1.93270296787467e-19,0,6.80543458115667e-20,0.00178385667455054,0.023810726265989,0.00059623108390505,0,0.00308828583374565,5.41997044912449e-21,0.0167988731598146,0,0,4.07361258373707e-19,0.00216180663978344,0.00062390342182614,0.000450348130726952,0.0019754141622977,0.00708302538983805
"DC",0,0.00242445031094358,0,0,7.10762714546597e-20,0.000582891894226931,4.20873527883273e-19,0.00182696548196972,0,0.000763252446317798,0.00251695252316761,0,0,0.00227750930641309,0.000988048870819876,0.000435061595825947,0,0,0.00284191559407983,0.00622071884381483,0,2.48237072520339e-19,0.000585401908024329,0.000394835462812749,0.0068455400949091,9.72050946491779e-05,2.49373118830743e-19,0,0.0015776612619722,0,2.29991908327691e-21,5.49058450916275e-20,0.000205868738127628,0.000517605009708565
"Eosinophils",0.0279794390417684,6.56369453582962e-20,0.0188691285678136,0.0125462508321895,2.2160910208802e-19,0.00174896678474459,0,0.027384475466936,0,0.0252563311491779,0,4.55047261835292e-18,0.00844899968142967,0.00494315158099691,2.91440659022519e-19,0.00871454141008692,0.00895674547152758,0,0.0155152448074941,0.06216624218077,0.027291695957509,0.0239458088390396,0.00157306567822959,0.0194168338299322,0.0219896247348282,0.0228646885194696,6.77408411269027e-19,0,0.00259019471360369,0.0218252904663686,0.00696143201747624,0.00349558791593166,0.0165186322378241,0.0282038686289285
"Erythrocytes",0.000706198433182096,0.000209486914055407,0.00116999862081668,0.000723950781097591,0.00362620250334144,0,0.000151287629085901,0.00047732830791791,0.000669210541396093,0.000888105658440321,0.000337095980374991,0.000120283402853659,0.000492197315718206,0,0.000171625020519841,0.00106483207142301,0.000211421819666312,2.41589744142314e-20,0,0.0028408814251073,0.000913821039694248,0.00111491504629152,0.000208717612011439,0.000792941041165537,0.000197905362963914,0.00087953065621313,0.00310227931172173,0.000919451164310333,0,0.000846660911058141,0,0,0.000512518552492519,0.000443236117344169
"HSC",0.0174744622319283,0.00781179398237632,0.0060270717576142,0.0219858179755914,3.25264961645062e-20,0.00153901201158276,0.00183587117254286,3.03553011220455e-20,0,0,0.00106433205110148,0.00508360722332319,0.00983545830915377,0.000132416126692867,0.0158338693258917,0.00135163246618867,0.0105105684341977,0.00275372405054419,1.07268882365933e-18,0.013386417346873,0.0100112863123947,0.0206720278516855,0,0.026012206212677,0.0236572572407162,0.0291872929937232,0,1.20578508492723e-19,0.00215232485098465,0.014083819171502,0.000422422802363329,0.000301652951720343,0,0.0149175891146623
"iDC",1.60149939237395e-18,0.0191980340764689,5.1393080131154e-18,0,0.00385722926106057,0.0271712425895516,2.33443642252788e-18,0.0713455860769194,2.23207521573413e-18,0.00115436508635088,0.0298059594511038,0.00404831638071325,0.0177309507080726,0.0184471013962462,0.00182124758974103,2.82193255296085e-20,0,0.00116381835403202,0.0401545310023493,0.0431793370045204,0,4.28402597467564e-20,0.0107972975579593,0.0144967172845665,0.0737961060123541,3.92831317768994e-18,0.009973083094756,0.0111708013850195,1.23213794580433e-18,0.0087706013104563,0.0307793142009286,0,1.32251017599962e-18,0
"Macrophages",0,0,5.04329949164041e-19,0,0,8.14117694508825e-20,1.39671031130967e-18,3.2117469819543e-19,0,1.59552326026236e-19,0.00103010563528697,0.000450429280206189,0.00146148860605245,0.000446234424379615,0,8.56815882208107e-19,0.000822988910288179,4.57455127993942e-19,0,0.00104829810427296,6.63079797342157e-20,6.23041777035188e-19,0,0,0,0,0,0,0,0,3.04001529353854e-19,0,0,0.00226848717331387
"Macrophages M1",0.00198685793492398,1.95236257034096e-19,1.11990047951241e-18,0,9.33119821893293e-20,0,0,0,2.39074239393288e-19,6.37098488591096e-19,0,0.00108784780654893,4.37281406875183e-21,0.000470908003210119,5.37292226363896e-21,0,0,0,0.00035933986171298,0,2.71050543121376e-20,0,9.72876907867007e-19,0,2.52223038284738e-19,1.06910898799567e-20,1.71137674641614e-19,0,0,3.72542118526157e-19,0,5.61322341981102e-22,7.1125233086602e-19,0
"Macrophages M2",0.00163544507194714,0,1.97625858939659e-19,0.00172166094205783,0,1.14887241805488e-20,0,0,0,3.1775529770086e-19,0.00203620095174636,0,0.00554567749874716,1.6882985745057e-20,0,1.05414835255821e-18,4.73071141444753e-19,0,2.3327656241707e-21,2.91213750842551e-20,0.00118935888277915,0,0,3.65473020037914e-19,1.03747045762165e-19,0.000781406168338618,2.86511068242975e-20,0,6.37244004267512e-20,0,7.64015294454783e-22,2.16998096145533e-20,0.000950032270741753,0.00049954108989428
"Mast cells",0.0103843279668258,0,0.00440871778390059,0.00951851074275164,0,0.00372913420934535,0.000461717112027045,0.00855240222242865,0.000779146199226929,0.00299157714982822,0.0030450158229765,0.0015337993923086,0.00459152328915025,0.0011040283018222,4.48826727864461e-20,0.000579363091702301,0.00215423562499787,0.00374843506192266,0.000450522089025308,0.00537753081979067,0.00581004094121423,0.00187689990369072,0,0.00435235966342448,0.00795380099583304,0.00681525139950545,0.00132438158162115,0.0020239867137822,0.00340446921122157,0.0028378369735763,0.00664688689309469,0.00328787887341418,0.000259380770112135,0.00319111015311856
"Memory B-cells",8.36137251169975e-20,0,0.0076495893504859,1.212369428749e-18,0.0342106452353047,0.0523792675254737,0.00272423100499338,0.0565115897077227,0.0990693558480957,0,0.0160700235271987,0.00822504021373953,4.09087468985959e-19,0.027016280347377,0.00226000640410564,0,0,0.00551500621470736,0,2.4198605495633e-18,5.51212188328652e-19,0.00100586410357562,0.00269062409136587,5.36200342316887e-20,0.0492272461551158,1.39987616437718e-19,0.0394235547197145,0.0940467274725768,0.0149796495446161,0.0102457942644989,0.0590635075278422,0.027687242074577,2.79319981210392e-19,0.00771934327955783
"Monocytes",0.0112432839767134,0,0,0.005362031312188,0.00293671484504317,9.14292262249701e-19,0,0.0124531214465381,0,1.2942022592125e-19,0.00732439205106953,0.0185307789475868,0.0175580809456994,0.000362480821842573,0.00252721539119388,0,0.0187452338280458,0.013985738742394,0.00151068760045096,0.00131398009586489,0.0138500934039907,0.00285066329515031,0.00154481863253638,0,0.00346757671879212,0.0159403227945765,0,1.78067938373834e-18,0.00844341623605796,0,0,3.98623332866866e-19,2.89323189708192e-20,0.0113795500772521
"MPP",0,0,0,2.75768684457104e-19,0,0,3.22581321875642e-19,0,0,1.44601804437718e-18,0,0,9.99528321705124e-19,0,3.45522231610802e-19,0,2.08615483216164e-18,0,8.02312434659266e-21,0,0.00558764378045579,0,1.10516587051676e-20,0,0,0,0,1.24083578124962e-18,3.62546199168262e-19,1.78252489727347e-18,0.00120712291665992,0,1.34465588005754e-18,1.6582101470856e-18
"MSC",0.0892449121451602,0.101290825088613,0.118491127665802,0.075013462610251,0.0358374544520125,0.141200304039323,0.117340249291216,0.181355146130893,0.168020484173732,0.133167647872707,0.0024645929933117,0.0153911177716348,0.200644934953338,0.0574803594823816,1.95418023244936e-19,0.169587042384599,0.0534645114226964,0.121644083260168,0.00586423006720697,0.0583432861178007,0.0455555618222643,0.0901214541711525,0.0756427339193433,0.0792154707250374,0.150507196300139,0.0975827867577058,0.0857863722539686,0.263718019973971,0.166653523523467,0.12230491635589,0.136894512495709,0.0624623402355818,0.0357307212900974,0.0855204458767075
"naive B-cells",2.14561945338574e-20,0.000811865376068827,0.0126501264412119,0,0.0191049122287178,0.0317028229192604,0.00166560471588105,0.0293233100838965,0.0697634670653718,0.00345848958754796,0.00957407902548373,0.012827707801898,2.77943558834415e-20,0.00584571639301307,0.00524760538781188,0.004158866775773,2.12531282533215e-19,0.00663171805686767,1.66576229378476e-18,1.50968188019917e-19,9.54817604987584e-20,0.0080029010803848,0.00512965063126409,0.0103723004455987,0.0309076979041556,0,0.0272882020879865,0.0707956934129248,0.0159684378085013,0.0119146261084887,0.0355029499911371,0,0.000882937524939979,0.00241975252234292
"Neutrophils",0.0178990147448892,0.0164406060388035,0.0335848957669654,0.0177529938392357,0.011949104546456,0,0.0176874490522335,0.0101177146620031,1.19210878142894e-18,0.0249992996301172,0.0302330592441153,0.0267620471994621,0.0190106036925041,0.00850489454596137,0.0167482661938937,0.0193459001529224,0.0221128683657177,0.0178056865496402,0.00727118222580002,0.0132270894676391,0.0168343313994255,0.0324811738459412,0.0182983119535424,0.0331270375523905,0.00995572690993895,0.0159056622289238,0.0123887379682121,0,0.0198977332865708,0.0315667798251878,3.8296560601373e-20,0.0134740740687707,0.0365743275930914,0.021194674450167
"NK cells",0,0.00222931113975148,0,5.82246716304461e-18,2.75125747093346e-18,8.12161288263279e-19,0,1.16337868905889e-18,4.04172765693358e-19,0,3.59258269314708e-18,1.8581886744193e-19,5.2371522237381e-18,0,0.000721235465165677,0,6.81701261663226e-19,3.40922442126921e-18,0,0,5.05868085815478e-18,7.96114625666283e-19,0.0040566313153319,0,1.64561104417688e-18,0,4.96241193482337e-18,6.54342829848486e-19,0,0,0,2.55670000529167e-18,0,0
"NKT",0.0078437121008583,0.0027315480808616,0.0380528906911368,4.36743974085243e-19,0.00435865143009477,0,0.020289195999619,0.000579504450215843,3.79931830878695e-19,0.00301832145365144,0.00935553560041066,0.0224014468062085,0,0,0.0079132673345748,0.0273497385835534,0.0598605765947641,5.03988797499023e-19,0,2.43865214420022e-20,0.0293784689189602,0.0682644603857409,0.00611066405202437,0.0122453940058203,0.0155325181585598,0.0104758687992081,0.00229059753441953,9.27852505757802e-21,0.0188415044163994,0.020057020826687,1.06954718819341e-19,0,0.0291204106474687,0.0182970034854606
"pDC",0.0015954384086561,0.0119601699647033,0.000501646348662589,0.00740081349393225,0,0.00134388577498431,0,0.00012657939618779,0.00957222028479647,0.000154849485014174,0.00145749064860913,0.00411850699507149,0,7.56486362930803e-20,0.00481733946719917,0.00859417971126014,0.00421226952973434,0.0048922106328233,0.00915406001826929,0.0039057867209888,0.00288578870985377,0,0.00104799783675501,2.42199991390144e-21,0.00980141171139241,0.000129775184431898,0.00078567503832344,0.0130915632767783,0.00966077431613378,0.0020763604073089,0.00067987313444534,0,6.98320937716311e-19,1.22103821462595e-19
"Plasma cells",1.13669419372445e-19,0.00367929387671189,0.00550815724450912,0,0.0049659978395064,0.0255649929593385,0.00501141795194635,0.00499358180073877,0.0141346349781709,0.00537326422892988,0.00299137907502776,0.000133732413551423,0,0.0606504343573221,0.00376018994055899,2.0566611437274e-05,0.000415426071861216,0.000469071216603584,0.0013207102664105,0,0,0.00106587828773777,0.0136236124940945,0.000388052809092449,0.0111091353802034,0,0.00392701022980377,0.0103168116850675,0.00556174112110342,0.00441164346126708,0.0462939629602711,0.0679278714965574,0,0.00253031127994616
"Platelets",0.0160783479464087,0.00325904200257527,0.00332975359267893,0.0134258797945137,5.04047157165227e-19,0.0157503448688144,0.00482008472375059,0.021811689456601,0,0.000758297474082898,1.37727112582056e-18,0.0117687307064623,0.000200902863217082,0.0112713230678104,0.00460703864403802,0,0.0163701829492152,0.0451551410813162,0.0149479696458774,0.0187188851224537,0.00957108791735974,0.00272829782402575,0.00399550653181614,0.00145720118521042,0.0122117452297192,0.0125339203542565,2.59134144759486e-18,0,0.0353746785552903,0.00871280486540952,0.0148499335873398,0.00792193080299122,5.47004083221404e-18,0.00661357781382785
"pro B-cells",0,0,4.66351981216057e-19,0,0.00722209659688874,0.00651154539567407,0.00200479449644472,0.0128264588677221,0.0287981683168805,1.91157621685743e-21,0.00175970164461667,2.92134627980097e-21,4.19668129491295e-19,0.00627094034142138,9.47046418406762e-19,0,1.8347304584965e-18,2.93790959286847e-20,0,0,1.22087718951056e-18,0,0.00220779776943611,1.93333087024017e-20,0.00693243621963179,1.54552900139082e-19,0.0112592985577489,0.0259465232076443,0.000925887296875653,7.29690332564524e-20,0.0150512311059757,0.00487370579774113,0,1.01841674838643e-18
"Tgd cells",1.42089659445043e-18,0,2.00103546281844e-18,7.92308181560634e-19,2.25327143890726e-18,2.29404808333681e-18,0,0,6.18702646230863e-19,3.52586099619731e-19,0,0,5.14854853683994e-19,0,0,0,1.72832452914977e-18,1.5877813579853e-18,4.79250942336284e-18,2.68914096463625e-19,0,2.54086564476773e-18,0,1.14822878250519e-18,7.62218532167587e-19,0,0,6.01138061513155e-18,0,0,0,1.06254400673169e-18,0,2.04652830827075e-18
"Th1 cells",0.00271572846209095,0.0076867868663953,0,0,0.0108415046151113,0.0135653482519896,0.00857574407773543,0.00554348492835409,0.0386161044172626,0.00246983280003524,3.6604217843572e-19,1.04373293362429e-18,0,0.0116073300832659,0.0037187012349648,0.0180728224573717,0.0024033502885162,0.00403639809101471,0.00188412272416667,9.05142374451661e-19,0.00504410415689629,0,0.025138051089458,1.85133454649428e-19,5.38490785542184e-19,0.00654782731184688,0.00783921839223529,0.0311210006174174,0.00381780315138495,1.08764090142164e-19,0.0281963930653572,0.0176790719458912,0.00620845048051737,3.23527685480998e-20
"Th2 cells",0.0035224558394031,0.0250234704741196,0.00252697311029792,0.00180610610327429,0,0.00329937536657627,0.0286854927616487,0.00345947203908305,0.0282402999275711,0.0102444432616302,4.91472687453445e-21,0.00211776448325313,0.0158838009979159,0.0307890666274857,0.0381601079391597,0.00675188775249396,0.0156840701909247,0.00900632416267253,0.0394345317726689,0.0193882674047139,4.94924472915115e-19,0.00253191896305917,0.00743059703478048,0,0.0150698745258524,0.00971882229776356,4.8559275843562e-19,0.0211816557262726,0.00232891046559373,0.00466387003839424,7.56106295500366e-20,0.0164299630563757,0.00787958643295344,0.0115467783950045
"Tregs",0,0,0,2.80774829449647e-19,8.33164873461991e-19,1.07520734055906e-19,6.08930274129228e-19,0,1.73525465141225e-18,1.4215644009191e-19,0,0,3.27392753407009e-18,3.33344325825471e-19,0,0,0,5.35864748033947e-20,6.15198523869136e-19,0.00335144091472603,0,9.35448436583807e-19,9.38953606731111e-19,0,7.23124458365085e-18,3.56542496551999e-19,1.71987988965752e-18,0,1.25511744941562e-18,0,1.10144958486733e-17,0,4.47777615892499e-18,0
